"condition","responded","yes","dem","rep","lean_dem","lean_rep","dem_condition","rep_condition","neutral_condition","copart_condition","counterpart_condition","strong_dem","strong_rep","strong_part","age","race_fixed","educ_fixed","gender"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,18,"White","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,67,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,73,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,93,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,33,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,77,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,76,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,60,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,82,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,52,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,84,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,62,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,58,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,81,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,68,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,70,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,67,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,78,"White","High School","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,63,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,66,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,76,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,58,"Other","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,54,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,66,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,70,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,54,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,NA,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,36,"Black","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,35,"Black","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,66,"White","College","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,75,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,70,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,58,"Other","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,80,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,35,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,74,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,74,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,47,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,80,"White","Some Grad School","Female"
"Democratic campaigns",1,1,1,0,0,0,1,0,0,1,0,1,0,1,52,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,78,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,42,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,53,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,30,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"Other","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,80,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,56,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,53,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,60,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,70,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,33,NA,"College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,87,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,69,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,62,"White","Some College","Female"
"volunteers of a non-profit organization",1,1,1,0,0,0,0,0,1,0,0,0,0,0,72,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"Other","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,70,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,35,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,20,"White","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,60,"Other","Trade School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,52,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,60,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,62,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,52,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,66,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,67,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,84,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,51,"Other","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,34,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,57,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,61,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,71,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,42,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,53,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,80,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,58,"White","Trade School","Female"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,68,"Other","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,33,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,76,"White","Some Grad School","Male"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,74,"White","High School","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,25,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,60,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,53,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"Black","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,44,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,55,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,87,"White","High School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,67,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,52,"White","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,55,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,37,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,62,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,60,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,84,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,"Other","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"Black","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,19,"White","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,58,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,86,"Other","Trade School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,39,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,66,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,44,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,73,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,68,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,72,"Black","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,71,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,68,"White","Trade School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,48,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,45,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,38,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,78,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,36,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,73,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,62,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,56,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,61,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,55,"White","High School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,61,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,73,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,87,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,48,"Other","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,63,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,76,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,70,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"Black","College","Male"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,80,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,60,"Asian","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,33,"Other","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,69,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,28,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,65,"White","Trade School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,62,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,64,"White","Trade School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,59,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,63,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,61,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,68,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,45,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,72,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,55,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,64,"Hispanic","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Grad School","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,60,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,81,"White","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,35,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,55,"White","Grad School","Female"
"Republican campaigns",1,1,1,0,0,0,0,1,0,0,1,1,0,1,33,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,60,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,67,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,70,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,44,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,33,"Hispanic","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,22,"Hispanic","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,33,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,27,"Asian","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,55,"Other","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,59,"White",NA,"Female"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,53,"White","Some College","Male"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,1,1,67,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,64,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,62,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,61,"White","Some Grad School","Male"
"Republican campaigns",0,0,0,1,0,1,0,1,0,1,0,0,0,0,57,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,61,"Other","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,52,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,47,"Other","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,46,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,48,"White","Some College","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,1,1,59,"White","Some College","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,1,1,48,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,63,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,67,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,57,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,62,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,68,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,67,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,47,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,51,"Other","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,41,"Hispanic","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,73,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,63,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,60,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,46,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,61,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,41,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,54,"Other","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,50,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,36,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,61,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,76,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,75,"Other","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,70,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,60,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,64,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,77,"White","College","Male"
